1,Mortgage,2020-06-15,360,350000.00,Active,3.75,1,1
2,Auto Loan,2022-03-10,60,35000.00,Active,4.25,2,2
3,Personal Loan,2023-01-20,36,15000.00,Active,6.50,3,3
4,Home Equity,2021-09-05,180,75000.00,Active,4.00,4,4
5,Student Loan,2019-08-15,120,45000.00,Active,5.50,5,5
6,Mortgage,2018-11-30,360,425000.00,Active,4.25,6,6
7,Auto Loan,2023-05-12,48,28000.00,Active,5.00,7,7
8,Business Loan,2022-07-18,84,150000.00,Active,7.25,8,8
9,Personal Loan,2024-01-10,24,10000.00,Active,8.50,9,9
10,Mortgage,2017-04-25,360,275000.00,Active,3.50,10,10
11,Credit Builder,2024-02-15,12,2500.00,Active,9.00,3,3
12,Vacation Loan,2023-11-20,36,12000.00,Active,7.75,5,5
13,Home Improvement,2022-08-05,60,35000.00,Active,5.25,7,7
14,Debt Consolidation,2023-03-15,48,30000.00,Active,6.75,9,9
15,Emergency Loan,2024-01-05,24,5000.00,Active,8.00,1,1
16,Professional Gamer Sponsorship,2024-12-30,60,117926.53,Pending,3.71,1,5
17,Space Shuttle Loan,2024-11-20,120,92573.93,Approved,8.91,6,4
18,Time Machine Lease,2025-02-01,120,18265.49,Approved,6.23,2,7
19,Space Shuttle Loan,2024-09-24,36,132028.43,Approved,9.29,2,7
20,Crypto Mining Rig Loan,2024-09-17,120,84617.99,Rejected,5.6,1,7
21,Underground Bunker Mortgage,2024-03-30,60,151110.61,Rejected,3.41,1,4
22,Shark Tank Investment Loan,2024-09-30,12,154833.98,Approved,4.77,7,2
23,Space Shuttle Loan,2024-12-21,12,179771.28,Rejected,9.09,6,5
24,Space Shuttle Loan,2023-04-10,120,197008.38,Pending,2.34,10,5
25,Luxury Yacht Financing,2024-09-04,120,124175.59,Approved,9.77,10,10
