bank_id,name,routing_number,location,phone_number
1,Chase Bank,123456789,"New York, NY",(212) 555-1234
2,Bank of America,987654321,"Los Angeles, CA",(310) 555-5678
3,Wells Fargo,456789123,"Chicago, IL",(312) 555-9012
4,Citibank,789123456,"Miami, FL",(305) 555-3456
5,TD Bank,321654987,"Boston, MA",(617) 555-7890
6,PNC Bank,654987321,"Philadelphia, PA",(215) 555-2345
7,Capital One,258369147,"Washington, DC",(202) 555-6789
8,US Bank,147258369,"Minneapolis, MN",(612) 555-0123
9,SunTrust,963852741,"Atlanta, GA",(404) 555-4567
10,Fifth Third Bank,852741963,"Cincinnati, OH",(513) 555-8901
